source,celltype,gene_id,gene_symbol,gene_symbol_canonical,log2_fold_change,bootstrap_ci_low,bootstrap_ci_high,stratified_permutation_p,n_SLE,n_HC,bootstraps,permutations,seed
real,T cell,ENSG00000137965,IFI44,IFI44,2.4586771102002176,1.9201857674612592,2.915675645110484,0.001,30,12,1000,999,20260917
real,T cell,ENSG00000137959,IFI44L,IFI44L,3.655280899109145,2.930818504558931,4.328620017620698,0.001,30,12,1000,999,20260917
real,T cell,ENSG00000115267,IFIH1,IFIH1,1.2405970465782825,0.85710553452675,1.5703614239355934,0.001,30,12,1000,999,20260917
real,T cell,ENSG00000119922,IFIT2,IFIT2,2.1477589367097862,0.9540667914992067,3.2027833601397573,0.008,30,12,1000,999,20260917
real,T cell,ENSG00000119917,IFIT3,IFIT3,3.333044750444567,2.3769727042937925,4.059547256852753,0.001,30,12,1000,999,20260917
real,T cell,ENSG00000185885,IFITM1,IFITM1,1.3450908844978604,0.8212863553785271,1.943546646393577,0.001,30,12,1000,999,20260917
real,T cell,ENSG00000185201,IFITM2,IFITM2,0.6924565716587318,0.4433427274751852,0.9258541591890368,0.001,30,12,1000,999,20260917
real,T cell,ENSG00000142089,IFITM3,IFITM3,1.768694544232081,1.1965413340014088,2.4463914819763253,0.001,30,12,1000,999,20260917
real,T cell,ENSG00000164136,IL15,IL15,0.7947880776076152,0.4133522480217117,1.164193461330871,0.002,30,12,1000,999,20260917
real,T cell,ENSG00000077238,IL4R,IL4R,0.009370290621655711,-0.19772293760680792,0.25283322399038755,0.938,30,12,1000,999,20260917
real,T cell,ENSG00000104432,IL7,IL7,0.5029359269307179,0.15293830856223364,0.8495334529465752,0.037,30,12,1000,999,20260917
real,T cell,ENSG00000185507,IRF7,IRF7,1.6746003939889502,1.2655827634370824,2.0164449724453952,0.001,30,12,1000,999,20260917
real,T cell,ENSG00000187608,ISG15,ISG15,1.923475851298059,1.3357206160760584,2.4232914857366783,0.001,30,12,1000,999,20260917
real,T cell,ENSG00000172183,ISG20,ISG20,0.7110038261838514,0.47826788700368944,0.9360330135990187,0.001,30,12,1000,999,20260917
real,T cell,ENSG00000078081,LAMP3,LAMP3,2.1621322990888125,1.5839618801336224,2.689615433792692,0.001,30,12,1000,999,20260917
real,T cell,ENSG00000002549,LAP3,LAP3,1.0236576682173355,0.63703786549617,1.3558332456564206,0.002,30,12,1000,999,20260917
real,T cell,ENSG00000139679,LPAR6,LPAR6,0.2868020471425001,-0.03433060226413051,0.6158630837654265,0.208,30,12,1000,999,20260917
real,T cell,ENSG00000155363,MOV10,MOV10,0.7563707623451877,0.45377967212768555,1.0348075733425612,0.002,30,12,1000,999,20260917
real,T cell,ENSG00000157601,MX1,MX1,2.1861909837708766,1.6302901800964213,2.6678054723927938,0.001,30,12,1000,999,20260917
real,T cell,ENSG00000089127,OAS1,OAS1,2.7250892839474177,2.108149509370825,3.2335148090482067,0.001,30,12,1000,999,20260917
real,T cell,ENSG00000135114,OASL,OASL,2.344843727082003,1.6113442203227735,3.0184039924287585,0.001,30,12,1000,999,20260917
real,T cell,ENSG00000059378,PARP12,PARP12,0.914654447418348,0.6023653599574751,1.1779714751183497,0.001,30,12,1000,999,20260917
real,T cell,ENSG00000173193,PARP14,PARP14,0.9350355255668868,0.5860267044139891,1.263222764313797,0.001,30,12,1000,999,20260917
real,T cell,ENSG00000138496,PARP9,PARP9,1.6533158180585439,1.1935973633811778,2.0529885290445438,0.001,30,12,1000,999,20260917
real,T cell,ENSG00000188313,PLSCR1,PLSCR1,2.069653481221637,1.5492098856072423,2.5269350499706427,0.001,30,12,1000,999,20260917
real,T cell,ENSG00000138035,PNPT1,PNPT1,0.5046010735085559,0.25058829415954004,0.7555373961425842,0.007,30,12,1000,999,20260917
real,T cell,ENSG00000104312,RIPK2,RIPK2,0.9227873007223143,0.7104718996783146,1.133917188224342,0.001,30,12,1000,999,20260917
real,T cell,ENSG00000092098,RNF31,RNF31,0.43514653919346646,0.016713670290927504,0.8547963164852851,0.047,30,12,1000,999,20260917
real,T cell,ENSG00000134321,RSAD2,RSAD2,3.0319068413212893,2.3350602012383397,3.653310472222837,0.001,30,12,1000,999,20260917
real,T cell,ENSG00000205413,SAMD9,SAMD9,0.5471828802703993,0.2557223792883545,0.8364055187099694,0.015,30,12,1000,999,20260917
real,T cell,ENSG00000177409,SAMD9L,SAMD9L,1.1731056761000493,0.7600936981011251,1.507790787813236,0.001,30,12,1000,999,20260917
real,T cell,ENSG00000188404,SELL,SELL,0.15138971187307695,-0.09526678318960144,0.42391966291756206,0.38,30,12,1000,999,20260917
real,T cell,ENSG00000135899,SP110,SP110,0.5474593568729433,0.3280730671377599,0.7592171797798767,0.003,30,12,1000,999,20260917
real,T cell,ENSG00000170581,STAT2,STAT2,0.715585852129502,0.3946549338032254,1.0260754276095052,0.004,30,12,1000,999,20260917
real,T cell,ENSG00000196116,TDRD7,TDRD7,0.7318039447625329,0.43792836427180754,0.9920830848401999,0.001,30,12,1000,999,20260917
real,T cell,ENSG00000146859,TMEM140,TMEM140,0.8436153152864139,0.4656781859112004,1.185853927627628,0.003,30,12,1000,999,20260917
real,T cell,ENSG00000135148,TRAFD1,TRAFD1,0.5956882973832132,0.2678486128553875,0.9234664335173289,0.016,30,12,1000,999,20260917
real,T cell,ENSG00000106785,TRIM14,TRIM14,0.43935437352829393,0.20097124405270686,0.6896255630968391,0.01,30,12,1000,999,20260917
real,T cell,ENSG00000121060,TRIM25,TRIM25,0.8651135490026365,0.5859872714817519,1.118874492067208,0.001,30,12,1000,999,20260917
real,T cell,ENSG00000132256,TRIM5,TRIM5,0.5724500414888835,0.35457314634184495,0.7747838517454209,0.001,30,12,1000,999,20260917
real,T cell,ENSG00000182179,UBA7,UBA7,0.5071128719756149,0.26865838814113285,0.7338168129204226,0.007,30,12,1000,999,20260917
real,T cell,ENSG00000184979,USP18,USP18,2.5954275900285277,2.0515961519334125,3.0412580007410037,0.001,30,12,1000,999,20260917
real,T cell,ENSG00000140105,WARS,WARS1,0.8246418201614646,0.48094306060734554,1.142106754289827,0.004,30,12,1000,999,20260917
generated,B cell,ENSG00000019582,CD74,CD74,0.047183687604124745,-0.044341001079570716,0.1447669579364018,0.492,30,12,1000,999,20260918
generated,B cell,ENSG00000134326,CMPK2,CMPK2,1.3582116347603335,0.5127592629159383,2.116974139293555,0.052,30,12,1000,999,20260918
generated,B cell,ENSG00000137200,CMTR1,CMTR1,0.0,0.0,0.0,1.0,30,12,1000,999,20260918
generated,B cell,ENSG00000184371,CSF1,CSF1,0.0,0.0,0.0,1.0,30,12,1000,999,20260918
generated,B cell,ENSG00000169245,CXCL10,CXCL10,0.0,0.0,0.0,1.0,30,12,1000,999,20260918
generated,B cell,ENSG00000169248,CXCL11,CXCL11,0.0,0.0,0.0,1.0,30,12,1000,999,20260918
generated,B cell,ENSG00000137628,DDX60,DDX60,2.9248427649593007,1.9756851746951183,3.816027013183819,0.001,30,12,1000,999,20260918
generated,B cell,ENSG00000055332,EIF2AK2,EIF2AK2,1.0606677056384899,0.7608088676634572,1.3541760246299364,0.001,30,12,1000,999,20260918
generated,B cell,ENSG00000133106,EPSTI1,EPSTI1,2.1982228230078156,1.5639030855501281,2.784792261483669,0.001,30,12,1000,999,20260918
generated,B cell,ENSG00000112773,FAM46A,TENT5A,0.10105531477165067,0.0,0.28412701475063346,1.0,30,12,1000,999,20260918
generated,B cell,ENSG00000162645,GBP2,GBP2,1.0032651032098736,0.4832244741036001,1.5584064266883333,0.001,30,12,1000,999,20260918
generated,B cell,ENSG00000162654,GBP4,GBP4,0.505503359253377,0.1451271552469121,0.926901424738828,0.03,30,12,1000,999,20260918
generated,B cell,ENSG00000137198,GMPR,GMPR,0.0,0.0,0.0,1.0,30,12,1000,999,20260918
generated,B cell,ENSG00000130589,HELZ2,HELZ2,0.1485291734780517,-0.3774137989779539,0.6933779495556942,0.803,30,12,1000,999,20260918
generated,B cell,ENSG00000138642,HERC6,HERC6,0.8246440503255624,0.2933189723393198,1.2808031997998717,0.172,30,12,1000,999,20260918
generated,B cell,ENSG00000165949,IFI27,IFI27,2.240630060172461,1.336676807441606,2.8009980189153207,0.008,30,12,1000,999,20260918
generated,B cell,ENSG00000216490,IFI30,IFI30,-0.4073430355110754,-1.2431473054986688,0.5321125553304743,0.364,30,12,1000,999,20260918
generated,B cell,ENSG00000068079,IFI35,IFI35,1.0888055086060282,0.549403607704654,1.6136263603922811,0.005,30,12,1000,999,20260918
